district,crime,year,amount,total
CENTRAL,PROSTITUTION,2015,44,18368
NORTHERN,PROSTITUTION,2015,42,19804
INGLESIDE,PROSTITUTION,2015,4,13133
SOUTHERN,PROSTITUTION,2015,96,29709
MISSION,PROSTITUTION,2015,66,18312
TENDERLOIN,PROSTITUTION,2015,23,10584
RICHMOND,PROSTITUTION,2015,9,8970
TARAVAL,PROSTITUTION,2015,78,11752
BAYVIEW,PROSTITUTION,2015,6,14353
PARK,PROSTITUTION,2015,1,9221
CENTRAL,VEHICLE THEFT,2015,549,18368
NORTHERN,VEHICLE THEFT,2015,942,19804
INGLESIDE,VEHICLE THEFT,2015,1366,13133
PARK,VEHICLE THEFT,2015,639,9221
MISSION,VEHICLE THEFT,2015,1195,18312
TENDERLOIN,VEHICLE THEFT,2015,112,10584
RICHMOND,VEHICLE THEFT,2015,561,8970
TARAVAL,VEHICLE THEFT,2015,786,11752
BAYVIEW,VEHICLE THEFT,2015,981,14353
SOUTHERN,VEHICLE THEFT,2015,793,29709
